tarotCard,cardLabel,iconographicDescription
http://w3id.org/italo/data/re-di-spade,Re di Spade,Orlando paladino che mulinava la sua Durlindana.
http://w3id.org/italo/data/dieci-di-spade,Dieci di Spade,E subito i nostri occhi furono come accecati dal polverone delle battaglie [...].
http://w3id.org/italo/data/regina-di-spade,Regina di Spade,"donna bionda, che in mezzo alle lame affilate e alle piastre di ferro affaccia l'inafferrabile sorriso d'un gioco sensuale, noi riconoscemmo Angelica, la maga venuta dal Catai per la rovina delle armate franche [...]."
http://w3id.org/italo/data/dieci-di-bastoni,Dieci di Bastoni,"Vedemmo la foresta schiudersi malvolentieri all'avanzare del campione [...] Il bosco dell'amore, Orlando, non é luogo per te!"
http://w3id.org/italo/data/il-carro,Il Carro,una sola visione lo occupava: [...] l'incedere fatato d'Angelica nel bosco [...].
http://w3id.org/italo/data/lo-amore,L'Amore,una stretta d'amore morbida e struggente univa intanto Angelica e Medoro.
http://w3id.org/italo/data/fante-di-bastoni,Fante di Bastoni,"un giovanottino del seguito, snello e civettuolo come una fanciulla"
http://w3id.org/italo/data/il-sole,Il Sole,Un amorino fuggiva a volo portando via il lume della saggezza d'Orlando [...].
http://w3id.org/italo/data/la-forza,La Forza,quel fiore della cavalleria trasformato in una cieca esplosione tellurica [...].
http://w3id.org/italo/data/cinque-di-bastoni,Cinque di Bastoni,schianto dei tronchi di quercia sradicati dall'ossesso
http://w3id.org/italo/data/sette-di-spade,Sette di Spade,l'ozio della Durlindana rimasta appesa a un albero e dimenticata
http://w3id.org/italo/data/cinque-di-denari,Cinque di Denari,spreco d'energie e di beni
http://w3id.org/italo/data/la-luna,La Luna,una terra oramai lunare
http://w3id.org/italo/data/il-matto,Il Matto,"Sfogato ormai il più grosso groppo di furore, [...] con la testa piena di penne [...] ecco che Orlando era disceso giù nel cuore caotico delle cose, [...] al punto d'intersezione di tutti gli ordini possibili."
http://w3id.org/italo/data/tre-di-coppe,Tre di Coppe,La sua ragione? [...] un'ampolla custodita nella Valle delle Ragioni Perdute
http://w3id.org/italo/data/la-giustizia,La Giustizia,"i cavalieri dell'Armata di Carlomagno seguivano le piste del loro campione [...], non rinunciavano a riportare la sua spada al servizio di Ragione e Giustizia."
http://w3id.org/italo/data/il-penduto,Il Penduto,Il paladino legato a testa in giù [...] Lasciatemi così. Ho fatto tutto il giro e ho capito. Il mondo si legge all'incontrario. Tutto è chiaro.
